MovieID|DateTimeCreated|CreatedByUser|DateTimeDeleted|DeletedByUser|Title|IMDBID|IMDBRating|RunningTime|IMDBVotes|PlotSummary|Plot|ReleasedYear|Language|Country|Genre|Director|Cast|PosterURL|MoviestatusID|MoviequalityID
11|2018-02-03 02:32:08.4941780|1|||The Deer Hunter|tt0077416|8.1999999999999993|183|259834|An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.|Michael, Steven and Nick are young factory workers from Pennsylvania who enlist into the Army to fight in Vietnam. Before they go, Steven marries the pregnant Angela, and their wedding party also serves as the men's farewell party. After some time and many horrors, the three friends fall in the hands of the Vietcong and are brought to a prison camp in which they are forced to play Russian roulette against each other. Michael makes it possible for them to escape, but they soon get separated again.|1978|English, Russian, Vietnamese, French|USA, UK|Drama, War|Michael Cimino|Robert De Niro, John Cazale, John Savage, Christopher Walken|https://images-na.ssl-images-amazon.com/images/M/MV5BNDhmNTA0ZDMtYjhkNS00NzEzLWIzYTItOGNkMTVmYjE2YmI3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg|1|1
12|2018-02-03 03:31:05.6354598|1|||Oldboy|tt0364569|8.4000000000000004|120|414284|After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.|An average man is kidnapped and imprisoned in a shabby cell for 15 years without explanation. He then is released, equipped with money, a cellphone and expensive clothes. As he strives to explain his imprisonment and get his revenge, Oh Dae-Su soon finds out that his kidnapper has a greater plan for him and is set onto a path of pain and suffering in an attempt to uncover the motive of his mysterious tormentor.|2003|Korean|South Korea|Mystery, Thriller|Chan-wook Park|Min-sik Choi, Ji-tae Yu, Hye-jeong Kang, Dae-han Ji|https://images-na.ssl-images-amazon.com/images/M/MV5BMTI3NTQyMzU5M15BMl5BanBnXkFtZTcwMTM2MjgyMQ@@._V1_SX300.jpg|1|1
13|2018-02-03 15:24:07.1992750|1|||The Animatrix|tt0328832|7.4000000000000004|100|65201|The Animatrix is a collection of several animated short films, detailing the backstory of the "Matrix" universe, and the original war between man and machines which led to the creation of the Matrix.|Anthology of nine short anime (Japanese animation) films tied in to the 1999 blockbuster "The Matrix" and its sequels. "Final Flight of the Osiris": The crew of the hovercraft Osiris attempt to warn their city of an imminent attack. "The Second Renaissance, Parts 1 & 2": The story behind the war between man and the machines, how mankind scorched the sky, and the creation of the Matrix. "Kid's Story": A teenager is contacted by Neo, and manages to escape the Matrix. "Program": Two warriors battle in a samurai training simulation when one decides to betray his crewmates and re-enter the Matrix. "World Record": A champion sprinter manages to break free of the Matrix by sheer physical effort during a record attempt. "Beyond": A young girl searching for her cat discovers a haunted house caused by a glitch in the system. "A Detective Story": Private investigator Ash tracks a hacker named Trinity through the looking glass. "Matriculated": A group of humans capture a machine scout and insert it into a 'human matrix'.|2003|English, Japanese|USA, Japan|Animation, Action, Adventure|Peter Chung, Andrew R. Jones, Yoshiaki Kawajiri, Takeshi Koike, Mahiro Maeda, Kôji Morimoto, Shinichirô Watanabe|Kevin Michael Richardson, Pamela Adlon, John DiMaggio, Tom Kenny|https://images-na.ssl-images-amazon.com/images/M/MV5BZDEwMGYxNjEtNTE3ZC00Zjg3LThlODMtODVhNzBiMTQ3NGI5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg|1|1
14|2018-02-04 14:11:12.0751349|1|||The Lord of the Rings Trilogy: Behind-the-Scenes|tt1695813|9|0|32|N/A|N/A|2006|English|USA|Short, Fantasy|N/A|N/A|N/A|1|1
15|2018-02-04 15:10:43.5423591|1|||The 40-Year-Old Virgin|tt0405422|7.0999999999999996|116|339772|Goaded by his buddies, a nerdy guy who's never "done the deed" only finds the pressure mounting when he meets a single mother.|Andy at the age of 40 still hasn't had sex. He lets his secret slip at a poker game with his buds from work. After the revealing all his friends are on a mission to help get him laid. Along the way Andy meets a nice mom, Trish, and they fall head over heels for each other.|2005|English, Spanish, Japanese|USA|Comedy, Romance|Judd Apatow|Steve Carell, Catherine Keener, Paul Rudd, Romany Malco|https://images-na.ssl-images-amazon.com/images/M/MV5BMTNjYTA1NDMtZGZmZi00MTdiLThjZTMtZWU1MGYyZjZkNzgxXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg|1|1
16|2018-02-04 16:27:32.9936978|1|||Yes Man|tt1068680|6.7999999999999998|104|293665|A man challenges himself to say "yes" to everything for an entire year.|Carl Allen is at a standstill. No future... Until the day he enrolls into a personal development program based on a very simple idea: say yes to everything! Carl discovers with amazement the magical power of "Yes", and sees his professional and romantic life turned upside down overnight: an unexpected promotion and a new girlfriend. But he'll soon discover that better can be good's enemy, and that all opportunities shouldn't be taken.|2008|English, Korean, Estonian|USA, UK|Comedy, Romance|Peyton Reed|Jim Carrey, Zooey Deschanel, Bradley Cooper, John Michael Higgins|https://images-na.ssl-images-amazon.com/images/M/MV5BMzBmZTMzYmItNzhhMC00M2FkLWIxMGEtMjIxMjAwNmQ2ZmM4XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg|1|1
17|2018-02-05 12:40:36.5656580|1|||King Kong|tt0360717|7.2000000000000002|187|346494|In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to the mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with leading lady Ann Darrow.|Carl Denham needs to finish his movie and has the perfect location; Skull Island. But he still needs to find a leading lady. This 'soon-to-be-unfortunate' soul is Ann Darrow. No one knows what they will encounter on this island and why it is so mysterious, but once they reach it, they will soon find out. Living on this hidden island is a giant gorilla and this beast now has Ann is its grasps. Carl and Ann's new love, Jack Driscoll must travel through the jungle looking for Kong and Ann, whilst avoiding all sorts of creatures and beasts. But Carl has another plan in mind.|2005|English|New Zealand, USA, Germany|Action, Adventure, Drama|Peter Jackson|Naomi Watts, Jack Black, Adrien Brody, Thomas Kretschmann|https://images-na.ssl-images-amazon.com/images/M/MV5BMjYxYmRlZWYtMzAwNC00MDA1LWJjNTItOTBjMzlhNGMzYzk3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg|1|2
18|2018-02-06 00:20:18.5181488|1|||The Weather Man|tt0384680|6.5999999999999996|102|72145|A Chicago weather man, separated from his wife and children, debates whether professional and personal success are mutually exclusive.|Dave Spritz is a local weatherman in his home town of Chicago, where his career is going well while his personal life -- his relationship with his perfectionist writer father, his neurotic ex-wife, and his now-separated children -- is spiraling downward. Despite being both loathed and loved by the local masses, Dave is a guy who doesn't seem to have it all together, and in this film, he begins to feel it. An attractive job offer presents Dave with a major question: to pursue his career in New York City, or to remain at home with his family.|2005|English|USA, Germany|Comedy, Drama|Gore Verbinski|Nicolas Cage, Michael Caine, Hope Davis, Gemmenne de la Peña|https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4NzAxMTE3Ml5BMl5BanBnXkFtZTYwMDAwMjY3._V1_SX300.jpg|1|2
19|2018-02-13 11:03:51.6078391|1|||Spider-Man|tt0145487|7.2999999999999998|121|599208|When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.|Based on Marvel Comics' superhero character, this is a story of Peter Parker who is a nerdy high-schooler. He was orphaned as a child, bullied by jocks, and can't confess his crush for his stunning neighborhood girl Mary Jane Watson. To say his life is "miserable" is an understatement. But one day while on an excursion to a laboratory a runaway radioactive spider bites him... and his life changes in a way no one could have imagined. Peter acquires a muscle-bound physique, clear vision, ability to cling to surfaces and crawl over walls, shooting webs from his wrist ... but the fun isn't going to last. An eccentric millionaire Norman Osborn administers a performance enhancing drug on himself and his maniacal alter ego Green Goblin emerges. Now Peter Parker has to become Spider-Man and take Green Goblin to the task... or else Goblin will kill him. They come face to face and the war begins in which only one of them will survive at the end.|2002|English|USA|Action, Adventure, Sci-Fi|Sam Raimi|Tobey Maguire, Willem Dafoe, Kirsten Dunst, James Franco|https://images-na.ssl-images-amazon.com/images/M/MV5BZDEyN2NhMjgtMjdhNi00MmNlLWE5YTgtZGE4MzNjMTRlMGEwXkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_SX300.jpg|1|1
20|2018-02-13 11:09:11.6617529|1|||The Lord of the Rings: The Quest Fulfilled|tt0382814|6.2999999999999998|23|138|N/A|N/A|2003|English|USA|Documentary, Short|Dan Arden|Sean Astin, Orlando Bloom, Billy Boyd, Philippa Boyens|N/A|1|1
21|2018-02-15 08:41:13.9471280|1|||Star Wars: Episode I - The Phantom Menace|tt0120915|6.5|136|607829|Two Jedi Knights escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their old glory.|The evil Trade Federation, led by Nute Gunray is planning to take over the peaceful world of Naboo. Jedi Knights Qui-Gon Jinn and Obi-Wan Kenobi are sent to confront the leaders. But not everything goes to plan. The two Jedi escape, and along with their new Gungan friend, Jar Jar Binks head to Naboo to warn Queen Amidala, but droids have already started to capture Naboo and the Queen is not safe there. Eventually, they land on Tatooine, where they become friends with a young boy known as Anakin Skywalker. Qui-Gon is curious about the boy, and sees a bright future for him. The group must now find a way of getting to Coruscant and to finally solve this trade dispute, but there is someone else hiding in the shadows. Are the Sith really extinct? Is the Queen really who she says she is? And what's so special about this young boy?|1999|English|USA|Action, Adventure, Fantasy|George Lucas|Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd|https://images-na.ssl-images-amazon.com/images/M/MV5BYTRhNjcwNWQtMGJmMi00NmQyLWE2YzItODVmMTdjNWI0ZDA2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg|1|1
22|2018-02-15 08:41:42.7735428|1|||Star Wars: Episode III - Revenge of the Sith|tt0121766|7.5999999999999996|140|591581|Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.|Near the end of the Clone Wars, Darth Sidious has revealed himself and is ready to execute the last part of his plan to rule the galaxy. Sidious is ready for his new apprentice, Darth Vader, to step into action and kill the remaining Jedi. Vader, however, struggles to choose the dark side and save his wife or remain loyal to the Jedi order.|2005|English|USA|Action, Adventure, Fantasy|George Lucas|Ewan McGregor, Natalie Portman, Hayden Christensen, Ian McDiarmid|https://images-na.ssl-images-amazon.com/images/M/MV5BNTc4MTc3NTQ5OF5BMl5BanBnXkFtZTcwOTg0NjI4NA@@._V1_SX300.jpg|1|1
23|2018-02-15 08:44:09.1731219|1|||Léon: The Professional|tt0110413|8.5999999999999996|110|830069|Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. Léon and Mathilda form an unusual relationship, as she becomes his protégée and learns the assassin's trade.|After her father, mother, older sister and little brother are killed by her father's employers, the 12-year-old daughter of an abject drug dealer is forced to take refuge in the apartment of a professional hitman who at her request teaches her the methods of his job so she can take her revenge on the corrupt DEA agent who ruined her life by killing her beloved brother.|1994|English, Italian, French|France|Crime, Drama, Thriller|Luc Besson|Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello|https://images-na.ssl-images-amazon.com/images/M/MV5BZDAwYTlhMDEtNTg0OS00NDY2LWJjOWItNWY3YTZkM2UxYzUzXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg|1|2
24|2018-02-18 00:03:07.6110489|1|||Batman Begins|tt0372784|8.3000000000000007|140|1099197|After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from the corruption that Scarecrow and the League of Shadows have cast upon it.|When his parents are killed, billionaire playboy Bruce Wayne relocates to Asia where he is mentored by Henri Ducard and Ra's Al Ghul in how to fight evil. When learning about the plan to wipe out evil in Gotham City by Ducard, Bruce prevents this plan from getting any further and heads back to his home. Back in his original surroundings, Bruce adopts the image of a bat to strike fear into the criminals and the corrupt as the icon known as 'Batman'. But it doesn't stay quiet for long.|2005|English, Urdu, Mandarin|USA, UK|Action, Adventure, Thriller|Christopher Nolan|Christian Bale, Michael Caine, Liam Neeson, Katie Holmes|https://images-na.ssl-images-amazon.com/images/M/MV5BYzc4ODgyZmYtMGFkZC00NGQyLWJiMDItMmFmNjJiZjcxYzVmXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg|1|1
25|2018-02-18 01:07:43.6881461|1|||The Dark Knight|tt0468569|9|152|1884186|When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham, the Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice.|Set within a year after the events of Batman Begins, Batman, Lieutenant James Gordon, and new district attorney Harvey Dent successfully begin to round up the criminals that plague Gotham City until a mysterious and sadistic criminal mastermind known only as the Joker appears in Gotham, creating a new wave of chaos. Batman's struggle against the Joker becomes deeply personal, forcing him to "confront everything he believes" and improve his technology to stop him. A love triangle develops between Bruce Wayne, Dent and Rachel Dawes.|2008|English, Mandarin|USA, UK|Action, Crime, Thriller|Christopher Nolan|Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine|https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_SX300.jpg|1|2
26|2018-02-18 01:33:12.7758350|1|||The Dark Knight Rises|tt1345836|8.4000000000000004|164|1280289|Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.|Despite his tarnished reputation after the events of The Dark Knight, in which he took the rap for Dent's crimes, Batman feels compelled to intervene to assist the city and its police force which is struggling to cope with Bane's plans to destroy the city.|2012|English, Arabic|UK, USA|Action, Thriller|Christopher Nolan|Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt|https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_SX300.jpg|1|1
27|2018-02-18 02:22:48.9004609|1|||The Dark Knight|tt0468569|9|152|1884186|When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham, the Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice.|Set within a year after the events of Batman Begins, Batman, Lieutenant James Gordon, and new district attorney Harvey Dent successfully begin to round up the criminals that plague Gotham City until a mysterious and sadistic criminal mastermind known only as the Joker appears in Gotham, creating a new wave of chaos. Batman's struggle against the Joker becomes deeply personal, forcing him to "confront everything he believes" and improve his technology to stop him. A love triangle develops between Bruce Wayne, Dent and Rachel Dawes.|2008|English, Mandarin|USA, UK|Action, Crime, Thriller|Christopher Nolan|Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine|https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_SX300.jpg|1|1
28|2018-02-18 02:23:01.2307679|1|||The Dark Knight|tt0468569|9|152|1884186|When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham, the Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice.|Set within a year after the events of Batman Begins, Batman, Lieutenant James Gordon, and new district attorney Harvey Dent successfully begin to round up the criminals that plague Gotham City until a mysterious and sadistic criminal mastermind known only as the Joker appears in Gotham, creating a new wave of chaos. Batman's struggle against the Joker becomes deeply personal, forcing him to "confront everything he believes" and improve his technology to stop him. A love triangle develops between Bruce Wayne, Dent and Rachel Dawes.|2008|English, Mandarin|USA, UK|Action, Crime, Thriller|Christopher Nolan|Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine|https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_SX300.jpg|1|1
29|2018-02-21 08:28:39.1392579|1|||Letters from Iwo Jima|tt0498380|7.9000000000000004|141|140652|The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.|The island of Iwo Jima stands between the American military force and the home islands of Japan. Therefore the Imperial Japanese Army is desperate to prevent it from falling into American hands and providing a launching point for an invasion of Japan. General Tadamichi Kuribayashi is given command of the forces on the island and sets out to prepare for the imminent attack. General Kuribayashi, however, does not favor the rigid traditional approach recommended by his subordinates, and resentment and resistance fester among his staff. In the lower echelons, a young soldier, Saigo, a poor baker in civilian life, strives with his friends to survive the harsh regime of the Japanese army itself, all the while knowing that a fierce battle looms. When the American invasion begins, both Kuribayashi and Saigo find strength, honor, courage, and horrors beyond imagination.|2006|Japanese, English|USA|Drama, History, War|Clint Eastwood|Ken Watanabe, Kazunari Ninomiya, Tsuyoshi Ihara, Ryo Kase|https://images-na.ssl-images-amazon.com/images/M/MV5BMjE0NzgwODI4M15BMl5BanBnXkFtZTcwNjg3OTA0MQ@@._V1_SX300.jpg|1|1
